n,workers,time_mean,time_std,vel_mean,vel_std,pi_mean,precision_mean,runs,time_baseline,speedup,efficiency
5000000,1,2.545567274093628,,1964198.72728773,,3.1411648,99.98638099725295,1,2.545567274093628,1.0,1.0
5000000,2,1.8758020401000977,,2665526.475135504,,3.14158,99.9995972237273,1,2.545567274093628,1.3570553926670161,0.6785276963335081
5000000,3,2.151400089263916,,2324067.95228437,,3.1426424,99.96658553396452,1,2.545567274093628,1.1832142644209767,0.3944047548069922
10000000,1,4.037166833877564,,2476984.58138658,,3.1405856,99.9679444886452,1,4.037166833877564,1.0,1.0
10000000,2,2.6664671897888184,,3750280.535344592,,3.1412528,99.98918212425139,1,4.037166833877564,1.5140508195029785,0.7570254097514892
10000000,3,2.687294006347656,,3721215.459260879,,3.1421248,99.9830612536734,1,4.037166833877564,1.502316763384049,0.5007722544613497
50000000,1,20.420992851257324,,2448460.775839383,,3.14179384,99.99359603766653,1,20.420992851257324,1.0,1.0
50000000,2,11.843963384628296,,4221559.825564183,,3.14181768,99.99283718689787,1,20.420992851257324,1.724168860380026,0.862084430190013
50000000,3,12.046220541000366,,4150679.4458743823,,3.14114536,99.98576220283422,1,20.420992851257324,1.6952199058412294,0.5650733019470765
