n,workers,time_mean,time_std,vel_mean,vel_std,pi_mean,error_abs_mean,error_rel_mean,runs,time_baseline,speedup,efficiency
5000000,1,3.589040994644165,,1393129.810292324,,3.1407296,0.0008630535897933278,0.00027471848993762614,1,3.589040994644165,1.0,1.0
5000000,2,2.1497550010681152,,2325846.432507764,,3.1407824,0.0008102535897931418,0.0002579117279470628,1,3.589040994644165,1.6695116387034497,0.8347558193517248
5000000,3,2.0889370441436768,,2393561.8423817377,,3.1405744,0.0010182535897929057,0.0003241201842732161,1,3.589040994644165,1.7181183151048143,0.5727061050349381
10000000,1,6.539191961288452,,1529240.930561342,,3.141386,0.00020665358979332638,6.577988064658549e-05,1,6.539191961288452,1.0,1.0
10000000,2,3.5582404136657715,,2810377.8377633,,3.1410468,0.0005458535897933103,0.00017375059404012218,1,6.539191961288452,1.837760016488499,0.9188800082442495
10000000,3,3.5372135639190674,,2827084.0364302085,,3.1410792,0.0005134535897930448,0.00016343735372768283,1,6.539191961288452,1.8486845204911329,0.6162281734970443
50000000,1,30.96685528755188,,1614629.562340452,,3.14124864,0.0003440135897929686,0.00010950292661267709,1,30.96685528755188,1.0,1.0
50000000,2,15.902762174606323,,3144107.888366743,,3.14133368,0.00025897358979332097,8.243385389171969e-05,1,30.96685528755188,1.947262679750065,0.9736313398750325
50000000,3,16.139200448989868,,3098046.904989611,,3.14121696,0.000375693589793169,0.00011958698380704338,1,30.96685528755188,1.9187354036172253,0.6395784678724085
